,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
0,33.59278,0.10830909,30.676828000000004,32.96978,36.422333,5.7455044,92.88726,120.70158,42.50205,28.200490000000002,0.26719347,0.84489685,0.060663253,0.20324904,0.45094520000000005,0.39028195,5.5942707,3.2362397,4.7673354,2.369424,0.023455352999999998,0.87265784,1.5177596000000002,0.5956416,5.5262823,0.45369319999999996,-0.30862670000000003,-28.858055,24.599543,0.7904791999999999,674.4086,0.28444424,1433.2654,0.19363673,-139.9784,-0.61995584,1713.6692,0.13737,-137.81464,-0.59785956,2723.2603,0.106913514,-140.22281,-0.56879014,-10.281889,-0.5362210000000001,21.384027,0.69748956,0.09894562,0.18169546,-0.03421727,-0.5538949000000001,-6.3471737,13.832829,0.07345906,-0.006989555,4.086739,3.1825798,0.097894736,0.06728407,0.19102563,0.34204358
1,34.21208,0.09621,31.150702000000003,34.321564,37.36799,6.217287000000001,62.459219999999995,65.99765,26.048029,20.435122,0.33451986,0.74610865,0.12167296,0.26913790000000004,0.5233467,0.40167376,6.266219,3.6938275999999997,5.364098,3.1005805,0.020765824,1.3742259,1.3805120000000002,0.6655939999999999,6.70737,0.4604469,3.4137132000000006,2.6568632,26.234367,0.66255,661.35333,0.2873712,1402.7588,0.13977875,-116.00796499999998,-0.8029775,1700.838,0.12792523,-114.8531,-0.76033515,2714.619,0.11020824,-118.456635,-0.7086259,-10.972793,-0.4808524,21.18101,0.5728488,0.09450036,0.1931967,-0.02967985,-0.6550843000000001,-5.3817334,12.647468,0.087064,-0.009060714000000001,4.286939599999999,3.2913568,0.13121739,0.08194533,0.1512069,0.14585157
2,33.0589,0.07859056,30.814571,32.982116999999995,35.723892,4.909321,41.07385,54.41340600000001,50.225998,87.583534,0.37069833,0.7274119000000001,0.12522593,0.30055928,0.6230578,0.49783185,6.848527400000001,3.555131,5.754473,3.4057775,0.018765206,1.2543919,1.4250148999999999,0.62588334,6.1946544999999995,0.46933702,0.99231064,8.142653999999999,28.137083,0.659537,667.02875,0.29945759999999993,1430.8845,0.14219664,-111.600555,-0.84857845,1670.2512,0.12830698,-111.57428999999999,-0.7996664000000001,2703.1516,0.11605738,-117.07721000000001,-0.7186174,-10.98214,-0.5578444,22.582882,0.54019606,0.092374675,0.20739242,-0.02815765,-0.68832785,-6.531623000000001,16.466654000000002,0.084019385,-0.00918612,4.446915,3.234802,0.13655172,0.09145475,0.15508771,0.17516033
3,33.86142,0.09233389,31.054264,33.822994,37.017703999999995,5.96344,99.73188,145.2363,27.044103999999997,12.864925,0.29731578,0.7005458999999999,0.117166355,0.24515228,0.4574514,0.34028506,5.8954163,3.3959801,4.621099,3.0993207000000003,0.019010173000000002,1.051684,1.4350021000000002,0.640292,6.739976400000001,0.43624142,3.4564106,2.6036012000000004,25.576723,0.6419433000000001,644.1459,0.29263267,1412.3851,0.16486889999999998,-121.92693,-0.7527457,1687.0986,0.13460049,-121.84675,-0.70676786,2697.0635,0.11178368,-124.48608,-0.6713534000000001,-11.405111999999999,-0.5151325,21.264587,0.56668913,0.092471376,0.19209285,-0.030556832000000003,-0.62168753,-6.384849,13.303685,0.08306701,-0.011495317,4.894327,3.3557047999999994,0.11766666,0.07111883,0.16033332,0.16817613
4,33.16857,0.079406306,31.404327000000002,32.46915,35.942496999999996,4.53817,35.126633,20.226091,31.444670000000002,27.214928000000004,0.3673007,0.6917964,0.13381776,0.3108739,0.6044855,0.47066775,6.1766553,3.6693472999999996,4.709147,2.5928970000000002,0.017626338000000002,1.2100334,1.4112062,0.6458055,6.693461,0.42286387,2.8828259,3.0871296000000004,30.72075,0.5869767,664.18164,0.2634438,1434.0232,0.14374253,-102.10745,-0.932894,1691.0295,0.12680347,-104.57815,-0.84572387,2733.4526,0.10023561,-110.63553999999999,-0.75273645,-11.638954,-0.48190463,25.9453,0.509957,0.09158472,0.20402324,-0.028771805,-0.59067696,-6.7339144,20.485301999999997,0.084482625,-0.010202181500000001,4.753961599999999,3.1852473999999997,0.1518421,0.089908,0.13820513,0.13368297
5,33.242424,0.11708702,29.814734,32.5009,35.635242,5.8205089999999995,171.65599999999998,162.96428,70.60548399999999,112.44735,0.38071102,0.7140814999999999,0.14026785,0.29639998,0.6390201999999999,0.49875236,6.026311,3.8124502000000002,3.7961009,2.3883642999999997,0.038554337,1.9191898,1.5211703,0.68286556,4.7700095000000005,0.69270843,-0.8707683,-7.499602,38.312748,0.5236632999999999,707.7827,0.30434429999999996,1437.5806,0.14543948,-122.6986,-0.7447698,1678.3273,0.14197221,-122.27275,-0.7176130999999999,2833.8887,0.14413767,-132.67264,-0.5785517,-10.273492999999998,-0.4750021,27.92298,0.47635079999999996,0.09406659,0.15616429,-0.028706104,-0.72748035,-5.7605977,13.174902,0.09366704,-0.015718726000000002,5.016722,4.0955634,0.089999996,0.08154753599999999,0.13416667,0.09784838
6,26.134384,0.131519,22.866073999999998,26.497269,28.779484000000004,5.91341,45.14921,34.666523,15.451788,8.243818,0.26579359999999996,0.83880335,0.065826215,0.20285495,0.46282527,0.39699906,3.3253448,2.0444858,2.9391735,1.7471244,0.014375813000000001,0.8824851999999999,1.1502994,0.5750298,4.969865,0.35228333,0.78509146,6.727137599999999,31.718864,0.65149355,629.2872,0.36277798,1361.4752,0.16674708,-147.8209,-0.58152205,1650.7594,0.12855111,-149.24059,-0.5519089,2715.8728,0.14501874,-153.38669,-0.49630943,-12.099428,-0.5346979000000001,18.153765,0.4211282,0.0745802,0.28000638,-0.032642000000000004,-0.56692547,-5.8673925,12.455179,0.045642699999999994,0.0018124195000000002,3.5058432,1.8518518,0.13363636,0.15645346,0.35333332,0.40809175
7,23.69996,0.08958300000000001,21.556122,23.71883,25.858253,4.3021317,69.35473,100.46762,33.147156,46.737057,0.28241354,0.72156394,0.0841309,0.24335141,0.44482910000000003,0.36069822,4.0100236,2.3010832999999997,2.9479863999999996,1.6051476999999998,0.016265702,0.80683285,1.3494407,0.62818354,4.069184,0.38920307,0.2995561,14.6028185,31.22563,0.57131386,554.3268400000001,0.34480765,1392.9318,0.14937133,-126.63891000000001,-0.7481147,1586.6747,0.12955286,-130.60703999999998,-0.67924976,2667.525,0.12211343,-135.86043,-0.60609466,-15.851165,-0.38146603,26.9297,0.36392456,0.068995625,0.25211146,-0.03231194,-0.5183278,-9.379875,17.73848,0.04899498,-0.012427113,3.6181678999999995,2.6275117000000003,0.12794118,0.12220474,0.22571428,0.28165108
8,23.934134,0.09309259,21.923939,24.158478,25.876509,3.9525699999999997,64.33925,74.23576,31.750414000000003,32.468723,0.2953083,0.7378048,0.08353896400000001,0.25861704,0.4588179,0.37527895,3.8726604,2.0079713,3.2894937999999994,1.9155494,0.015472165,0.9643938,1.3821618999999998,0.6638979,4.046212000000001,0.38323227,0.026319046000000002,151.5458,28.071640000000002,0.7122003,591.77264,0.4019525,1326.0779,0.14749835,-145.4755,-0.59202796,1597.59,0.14435801,-147.8456,-0.5530503000000001,2679.3076,0.13782798,-151.67781000000002,-0.5021302,-11.537930000000001,-0.4883867,22.725212,0.5864545,0.06931163,0.27106228,-0.022278903,-0.79557544,-5.979445,13.450819000000001,0.048924155999999996,-0.0033640563,3.2187908,2.7898867000000003,0.087031245,0.07725119999999999,0.24738462,0.34373188
9,23.192686,0.09202684,21.215221,23.23874,24.885956,3.6707343999999997,106.83371000000001,206.69652,50.81566,103.135826,0.29803607,0.7670735,0.089774236,0.24874969,0.46676484,0.37699062,4.468847,2.5954677999999998,3.06882,1.8015503000000002,0.01526627,0.8777741,1.4018267,0.6355306,3.6882057,0.47550119999999996,0.50324386,6.545833,28.324244,0.6515270000000001,636.33,0.39544216,1356.0491,0.16038905,-154.21262,-0.53378904,1634.9902,0.162267,-155.35808,-0.510469,2736.0957,0.14279121,-158.84648,-0.46315065,-12.403654,-0.51299244,22.987888,0.4918774,0.06538951400000001,0.30716459999999995,-0.025429588,-0.96328825,-5.982622599999999,13.4299345,0.047557305999999994,-0.0025807207,3.057254,1.9509474999999998,0.10828571,0.090632245,0.37333330000000003,0.49228492
10,24.070192000000002,0.13796129999999998,22.067759,24.031584,25.415684,3.3479252,63.317726,96.88745,184.97505,428.6548,0.29243082,0.7647004,0.08361015,0.24617146,0.47441798,0.39080784,3.9766657,1.9572991999999998,3.4352437999999994,1.927398,0.01363816,0.84675485,1.3219459999999998,0.6827893,4.1416319999999995,0.4018985,0.17822522,31.046497,29.41603,0.62532556,587.01624,0.42766836,1338.293,0.15712453,-150.71246000000002,-0.56210047,1600.6566,0.16336411,-152.15508,-0.53061074,2694.365,0.1443597,-155.84278999999998,-0.48095614,-12.601403,-0.47838783,23.828382,0.5109718,0.06827330599999999,0.26086533,-0.023674732,-0.9269055,-7.3289657,15.911307,0.044551275999999994,-0.0017531017000000002,3.0005088,2.0529351000000005,0.11140496,0.08764415,0.35270490000000004,0.52835816
